	logFC	logCPM	PValue	FDR
FGRRES_13881	1.591365	6.064163	0.004230432	0.0124967
FGRRES_13882	-2.652022	2.776098	0.0005836669	0.002272887
FGRRES_13883	-1.371222	5.141514	0.04332447	0.08854999
FGRRES_13888	2.455986	4.191015	4.029887e-05	0.0002158754
FGRRES_13892	-0.8478962	4.220457	0.1397771	0.2269261
FGRRES_13893	-5.2575473530655	2.20375519018074	1.62781261310358e-07	1.61098238320833e-06
FGRRES_13896_M	0.2049677	2.316562	0.7616935	0.8310706
FGRRES_13904_M	-1.75571	2.02161	0.01802099	0.04251778
FGRRES_13905	0.5184138	6.783547	0.3941326	0.5107488
FGRRES_13906	-0.6077599	6.163893	0.2483308	0.3563222
FGRRES_13908_M	0.4057599	2.134576	0.613803	0.7074978
FGRRES_13909	-0.08005267	0.2531	0.9209806	0.9445664
FGRRES_13910	1.380072	4.441132	0.01090396	0.02788422
FGRRES_13911	-0.1092278	6.018673	0.849349	0.8946026
FGRRES_13912	-1.377711	2.288295	0.0467127	0.09411043
FGRRES_13917	-0.3851804	4.170274	0.1809247	0.2786046
FGRRES_13920	-1.390606	1.817613	0.05662847	0.1098068
FGRRES_13922	-0.4003767	2.764473	0.4989417	0.607814
FGRRES_13927	-0.8998824	2.135974	0.2664966	0.3771893
FGRRES_13930	0.8221937	0.1927976	0.326157	0.4404906
FGRRES_13931	-0.8670057	8.175393	0.1460298	0.23469
FGRRES_13932_M	0.9642816	1.756007	0.1512535	0.2414405
FGRRES_13934	-0.09152143	5.834939	0.8621322	0.9032455
FGRRES_13936	-2.089591	1.419693	0.01043764	0.02689451
FGRRES_15000	-2.464998	6.263096	9.830597e-05	0.0004808088
FGRRES_15002	0.2000659	4.275634	0.7307073	0.8050408
FGRRES_15003	2.83838600988421	4.90163968783886	1.25380485072435e-06	9.994568638421e-06
FGRRES_15005	-0.3047428	1.49778	0.5963901	0.6933728
FGRRES_15006	0.864247	3.579275	0.1440078	0.2321401
FGRRES_15007	0.262976	4.001874	0.7233732	0.7993859
FGRRES_15009	5.05680902400961	6.16618128736802	2.29082520540094e-17	7.2484915318415e-16
FGRRES_15010_12980_M	-0.07939436	4.980762	0.8796317	0.9146922
FGRRES_15013	-0.3815106	3.798523	0.5538779	0.6559622
FGRRES_15014	1.609147	4.303386	0.003799972	0.01139257
FGRRES_15016	-2.156531	4.594114	0.0002111849	0.0009463213
FGRRES_15018	0.800264	4.283018	0.2029196	0.3047765
FGRRES_15023	-0.2755085	2.404581	0.7493614	0.8214139
FGRRES_15024	1.514298	6.440426	0.006503554	0.0179967
FGRRES_15026	-7.93649348633304	3.90086639571077	6.73772659790649e-19	2.34373547330382e-17
FGRRES_15028	0.5016606	3.83707	0.4052881	0.5220531
FGRRES_15029	-0.7712019	1.526568	0.1227001	0.2049976
FGRRES_15040	-2.398555	5.511381	4.089739e-05	0.0002185423
FGRRES_15041	1.133592	3.948716	0.04438004	0.09024856
FGRRES_15063	-1.340673	0.9691095	0.07893827	0.1436722
FGRRES_15064	-1.674564	3.760797	0.01379423	0.03405131
FGRRES_15067	-0.447182	0.7105117	0.613169	0.7071969
FGRRES_15071	-2.081068	0.6777641	0.01000017	0.02595215
FGRRES_15073	-4.899581	2.581629	9.24147e-05	0.0004565211
FGRRES_15086	-4.840526	1.127818	0.0001069043	0.000517961
FGRRES_15089	-1.270976	1.601715	0.0614734	0.117575
FGRRES_15095	-0.8625812	4.183041	0.1254039	0.2084879
FGRRES_15098	-0.2782775	1.522433	0.6616452	0.7491743
FGRRES_15104	-0.6965484	3.614413	0.2670114	0.3775733
FGRRES_15106	-0.2905631	3.066418	0.6301633	0.7213546
FGRRES_15117	-6.49823953348311	3.33709373330481	1.19923787729617e-12	2.51747169870315e-11
FGRRES_15120	-0.9754302	2.468118	0.1443427	0.2325641
