	logFC	logCPM	PValue	FDR
FGRRES_04364	1.54542	3.896645	0.03060422	0.06611218
FGRRES_04366	-1.041271	6.207968	0.04996859	0.09912431
FGRRES_04367	0.4103526	0.9273248	0.5793959	0.6792449
FGRRES_04372_M	-0.1591369	2.305953	0.854161	0.8976672
FGRRES_04373	0.4348527	0.4075507	0.599843	0.6963414
FGRRES_04375_M	0.1805505	1.290796	0.5718533	0.6729911
FGRRES_04376	1.069463	3.038221	0.08982843	0.1591686
FGRRES_04378	-1.291093	7.724595	0.03418406	0.07271651
FGRRES_04379	-0.05688649	1.81849	0.9361461	0.9550196
FGRRES_04381	0.4415441	1.355587	0.5121178	0.6201065
FGRRES_04382	-1.337862	7.173232	0.03284326	0.07019454
FGRRES_04383	0.2672094	2.243676	0.2182868	0.3224536
FGRRES_04384	-1.104904	5.75582	0.03590998	0.07567658
FGRRES_04385	1.056955	4.216323	0.06396628	0.1213046
FGRRES_04386	0.1717334	4.501813	0.7524698	0.8235735
FGRRES_04391	1.055005	3.449031	0.09239801	0.1627915
FGRRES_04393	-0.01935641	5.406667	0.9784862	0.9813244
FGRRES_04395_M	0.03460215	4.134299	0.9518618	0.9661045
FGRRES_04396	0.7874077	1.671441	0.2542814	0.3636431
FGRRES_04397	-0.2531737	6.896491	0.6482485	0.7376223
FGRRES_04398	0.1214986	4.961086	0.8323001	0.8824691
FGRRES_04400	-0.01795731	8.846479	0.9801337	0.9813244
FGRRES_04401	0.8908089	5.972209	0.09519615	0.1669683
FGRRES_04404	1.306154	4.313319	0.05265335	0.1035417
FGRRES_04407	1.144375	2.873469	0.08544348	0.1528966
FGRRES_04408	0.485059	3.142529	0.5102377	0.6183128
FGRRES_04409	1.239161	3.434822	0.05523817	0.1077303
FGRRES_04411	-0.112795	5.039665	0.8298491	0.8805585
FGRRES_04412	0.2904867	4.352939	0.5982377	0.6949983
FGRRES_04413	0.04836106	6.844482	0.9300613	0.9504666
FGRRES_04415	0.4530138	5.686764	0.3774327	0.4932598
FGRRES_04417	1.159333	0.7697979	0.1942748	0.2950966
FGRRES_04418	-0.917472	6.546917	0.09606876	0.1681126
FGRRES_04419	0.03520421	5.111349	0.9596766	0.9722179
FGRRES_04420	0.8058169	3.01009	0.1923536	0.2928341
FGRRES_04426	-0.1825385	2.133494	0.7190242	0.7956331
FGRRES_04428	-1.342963	4.59796	0.04488233	0.09108226
FGRRES_04432	-1.394883	1.655744	0.03280225	0.0701207
FGRRES_04437	-0.2497252	3.332068	0.6679952	0.7544752
FGRRES_04438	0.03787919	2.465537	0.9890337	0.9891248
FGRRES_04439	-1.10786	3.525624	0.09266766	0.1631871
FGRRES_04441_M	0.1154805	1.566411	0.5025597	0.6112095
FGRRES_04442	-1.027817	3.432471	0.1515657	0.2418514
FGRRES_04445_M	-1.267863	3.9383	0.04753243	0.09542535
FGRRES_04447	1.221125	0.8299462	0.1090253	0.1867211
FGRRES_04448	0.8280901	3.43597	0.1662549	0.2605205
FGRRES_04451	0.4056678	4.959489	0.4398414	0.5543606
FGRRES_04455	1.491018	1.943376	0.06881944	0.1286202
FGRRES_04459	-0.6422871	2.560786	0.3637226	0.4794706
FGRRES_04461	-1.118106	3.075495	0.1024709	0.1776261
FGRRES_04465_M	-0.4152723	0.697832	0.6891184	0.7711901
FGRRES_04470	0.8311552	4.271808	0.2017486	0.3035178
FGRRES_04473_M	0.6099949	5.509012	0.2370236	0.3436304
FGRRES_04474	-0.7863935	4.128142	0.2019111	0.303678
FGRRES_04475	-0.6171249	2.596281	0.4400078	0.5545059
FGRRES_04479	-0.2142689	4.721024	0.7133815	0.791426
FGRRES_04480	-0.9709608	0.4573189	0.1589644	0.2514389
FGRRES_04481	-0.091059	6.554176	0.8696237	0.9080404
FGRRES_04482	0.4656514	5.515453	0.3648383	0.4806495
FGRRES_04483	-0.9288698	4.45288	0.09048385	0.1600687
FGRRES_04484	-0.209826	6.273398	0.6949472	0.7763035
FGRRES_04485	0.4724712	7.484814	0.4152036	0.5312041
FGRRES_04486	-0.4554594	4.776301	0.4123333	0.5283416
FGRRES_04487	-0.9315962	6.660703	0.1009322	0.1754351
FGRRES_04488_M	-1.08063	3.840921	0.09401371	0.1652625
FGRRES_04494	-0.6929471	0.8917004	0.6017961	0.6977877
FGRRES_04496_M	0.1994596	2.016247	0.6311533	0.7222593
FGRRES_04507	0.967614	7.078796	0.1527959	0.2434189
FGRRES_04511_M	1.523622	1.847081	0.05778283	0.1116264
FGRRES_04517	0.6177086	3.8722	0.2945491	0.406945
FGRRES_04519	1.724289	0.6644719	0.03722259	0.07806315
FGRRES_04527	-1.666021	7.092514	0.02222615	0.05075373
FGRRES_04529_M	0.620135	2.116401	0.289356	0.401943
FGRRES_04537	-1.434128	4.116785	0.02295246	0.05202653
FGRRES_04540	-1.185666	6.347271	0.03663287	0.07696023
FGRRES_04543	-0.7063835	1.938223	0.3534536	0.4693542
FGRRES_04544_5_M	-1.526616	3.891856	0.02798433	0.06144324
FGRRES_04554	0.8135979	7.991291	0.2104065	0.3137595
FGRRES_04557_M	-0.8952952	5.657731	0.08838009	0.1572183
FGRRES_04558	-0.9099572	6.190357	0.09108802	0.1607967
FGRRES_04560	0.5478177	7.099816	0.3709326	0.4865521
FGRRES_04567	0.6469767	6.066586	0.2141934	0.3179213
FGRRES_04570	-0.6226071	5.372269	0.277155	0.3887963
FGRRES_04571	-0.4191574	4.583716	0.5147594	0.6224717
FGRRES_04572	0.6890938	2.131795	0.3162133	0.4302154
FGRRES_04575	0.9667367	5.461399	0.07870433	0.1433185
