	logFC	logCPM	PValue	FDR
FGRRES_09052	7.43361910709279	3.92378880938133	1.89674652316851e-23	8.26722490600316e-22
FGRRES_09053	-0.8688181	1.517325	0.1231351	0.2055029
FGRRES_09059	-3.46525863722176	3.3771609027394	6.71595893905975e-07	5.76192113562178e-06
FGRRES_09060	-4.03325862593713	5.1603748216901	1.33929837217740e-09	1.95894949235058e-08
FGRRES_09061	0.6401759	5.048159	0.3019435	0.414442
FGRRES_09062_M	2.43363	3.455147	0.0006336601	0.002443892
FGRRES_09063	-0.1226822	3.684808	0.8281701	0.8791748
FGRRES_09064_M	-0.5243527	2.40386	0.4236661	0.5397136
FGRRES_09065	-0.4357759	1.958064	0.5754897	0.6759196
FGRRES_09066	10.7102802988654	10.2043602898283	0	0
FGRRES_09067	5.05600886236012	3.44111588408487	1.42950349584709e-11	2.63850364633137e-10
FGRRES_09070	5.892074	-0.1816829	0.001886207	0.006260246
FGRRES_09071	1.550288	1.53017	0.04841832	0.09677422
FGRRES_09072	3.141804	8.478858	0.0001184135	0.0005663913
FGRRES_09073	0.3512431	1.904326	0.69415	0.7757012
FGRRES_09075_M	-2.093057	1.027255	0.00677654	0.01866644
FGRRES_09076	-3.7838507369846	1.97722715079249	7.11889547142935e-06	4.67400922876121e-05
FGRRES_09078	4.94638333556519	4.52149431385351	1.27095829171397e-08	1.55159846343889e-07
FGRRES_09080	-2.787187	2.171455	0.0004235883	0.001730223
FGRRES_09081	-5.76114447080226	3.48292067125429	8.93379768556174e-12	1.69507878114338e-10
FGRRES_09082	0.8662482	5.468389	0.1675934	0.2619749
FGRRES_09083_M	-6.47458430698115	7.18020558776442	1.00378358300354e-12	2.12774672389403e-11
FGRRES_09085_M	3.15807096810024	2.06206341947876	3.62892458115924e-05	0.000197208305524446
FGRRES_09087	-0.4641058	1.504018	0.6129795	0.7070535
FGRRES_09088	7.58430443321257	1.11788518671584	1.37543817182981e-06	1.08643598827285e-05
FGRRES_09091_M	-2.042856	1.836515	0.02814096	0.06173718
FGRRES_09092_M	0.7745459	3.47822	0.244269	0.351491
FGRRES_09093	3.10417040101105	5.3020414193958	3.30179823032261e-08	3.73664402436822e-07
FGRRES_09094	-0.582849	0.6827855	0.4317543	0.5468716
FGRRES_09099	-0.5228459	3.872761	0.4394867	0.5540026
FGRRES_09100	1.300571	2.280325	0.05984227	0.1148688
FGRRES_09101	-6.41323528427311	5.35132135014224	2.56455417356693e-17	8.09101931561684e-16
