GC content	Induction>1.5	Variants	M.H3K27me3	M.H3K4me2	M.H3K4me3
13.336	NA	345.667	4111	2589	1530
14.86	NA	225.833	4573	2747	2124
35.6	1.52951348	82.6667	4644	24354	21222
49.748	2.054297432	30.1667	5350	51937	52799
49.652	2.353452964	26	5077	20470	16933
49	NA	25.3333	4962	44013	47580
50.192	NA	30.6667	4886	27317	26729
48.832	NA	39.3333	6570	38474	57855
47.856	NA	55	26903	12935	17492
46.4	NA	77.1667	42180	7867	8340
48.436	NA	77.3333	38897	5551	7622
47.22	1.629322268	123.667	35055	7095	7537
46.972	NA	84.8333	40742	7915	9283
49.284	2.19757951	37	23059	18154	28840
47.496	NA	24.5	35484	5062	7341
47.22	NA	54.1667	38821	6029	8608
48.296	1.961601755	154	38202	5349	7282
47.788	NA	83.3333	36389	23015	22952
46.412	9.611089719	141.5	39822	7556	8433
49.364	NA	101.333	37830	6918	7627
46.396	NA	116.833	46033	6784	8067
47.448	2.377081569	159.333	43126	5238	7232
48.108	2.114674993	139.333	33950	11228	12639
47.772	NA	145.5	41004	12143	10018
49.364	2.728790816	114.5	31124	16065	23503
46.704	NA	123.167	33939	13094	10257
48.4	NA	146.333	35598	7375	8178
47.528	5.501466276	167.333	43789	5297	7203
46.132	NA	126.167	39920	14798	16195
46.624	1.666076994	125	44654	10801	10842
48.072	NA	159.5	39080	14517	19654
46.144	1.581920904	181.167	43078	5380	7332
47.392	NA	127.333	43644	5161	7299
47.3	NA	192.833	42469	7591	8409
47.772	NA	263	36828	4941	7372
49.436	NA	268.333	34533	9660	12005
46.624	NA	177.333	40652	6358	7876
47.536	NA	178.333	39073	5468	7541
47.24	2.019496344	245.667	32510	12812	21225
46.764	NA	107	38128	5544	7579
48.308	NA	67	34743	8065	8171
46.276	NA	132	41325	9309	15550
48.264	2.530571992	126.167	39271	4550	7108
47.992	NA	42.1667	43097	4874	7459
46.86	NA	124.667	40260	5042	7487
47.668	NA	122	40756	5261	7158
47.992	3.436124851	59.1667	33386	12040	19789
48.148	5.9669967	125.167	38041	7228	7783
