Variants	Induction>1.5	M.RNAseq	M.H3K4me2	M.H3K4me3	M.H3K27me3	M.H3K36me3	GC content
15.3333	NA	29722	27665	47419	5127	34643	49.036
22.6667	2.921845906	19871	43735	51655	5004	32978	48.528
40.6667	2.249410786	14426	44354	50691	5003	33093	48.156
22.6667	NA	16248	27570	36961	5421	35781	48.968
21.5	NA	44899	47102	47741	5346	30048	49.588
69.3333	NA	16189	19489	19026	5483	36228	46.8
78.6667	1.556492411	2372	16185	26227	4882	39922	48.628
105.333	2.796638655	1190	10985	16171	5285	40395	48.248
39.1667	2.228810736	21013	30905	41674	5769	28984	48.56
50.5	NA	3447	5422	7817	33513	46392	47.24
100.833	NA	6514	5728	7509	38867	43846	47.2
141	NA	1102	4837	6877	37626	40213	46.812
53	NA	116	5118	6990	37231	43390	47.028
89.8333	NA	4158	5893	7231	36220	38645	46.848
126.333	4.017353579	922	5007	6815	30906	45217	46.98
94.8333	4.001416431	1412	11168	11149	5208	42732	49.124
148.167	NA	7728	20288	26548	6324	31822	47.44
149.5	NA	14697	20657	25209	5319	26329	47.944
340.667	NA	5643	26106	34620	25283	40119	49.524
65.5	NA	24179	35812	50556	7515	35222	49.244
67.3333	NA	4195	14817	41805	5688	24219	48.22
49.1667	NA	9221	30678	41933	5347	41110	49.932
76.5	NA	44482	28168	38652	5969	44204	50.436
144.167	NA	32785	6262	8128	44866	48128	45.432
112.333	NA	167251	6311	7178	42587	51046	47.624
102.5	NA	59808	5583	7089	46201	48120	47.672
140.167	NA	5872	6107	7331	44598	44001	45.48
176.167	NA	23273	4887	6675	40570	46851	47.92
105.5	NA	3092	5033	7047	43300	50219	46.732
229.5	4.769784173	278	7168	7189	40340	45002	46.832
245	NA	809	4967	6828	42053	43608	46.128
182.667	2.665132336	4345	4864	6872	40690	42150	47.38
499.167	NA	37714	5191	7048	44160	42513	46.284
48.3333	NA	460	4595	6740	39691	40602	47.336
196.5	NA	4494	5350	6724	42058	40855	46.44
239.5	NA	1442	4826	6978	41438	46947	46.768
355.167	14.75517791	3766	5270	6995	45373	45465	45.956
185.5	1.966666667	180	4564	6681	40320	45397	47.192
239.833	NA	11703	4898	7300	41965	42258	46.792
292.833	3.504116223	2065	6027	7011	44624	44634	46.048
227	16.17837976	3913	5086	7035	44905	48582	47.06
110.333	NA	4772	4773	6370	39541	38694	46.352
83.6667	19.90871369	241	5003	6206	41746	42146	45.672
66.3333	4.087649402	251	4972	6417	44130	45544	46.852
42.8333	11.875	16	4582	5906	38750	31543	40.072
106.5	NA	0	2263	2198	14982	5135	25.12328767
213	NA	1235	4022	4320	25583	18174	26.652
121.833	NA	2157	7834	8710	40765	40892	44.872
88.3333	29.45945946	148	5117	6487	45225	41253	45.692
91	25.98175476	3727	4983	6597	43324	41647	45.848
68.3333	4.887323944	1562	4810	6287	40304	38087	43.036
161.167	4.842042042	1665	5087	6866	43514	45819	46.98
146	NA	21864	5626	7188	44791	45430	46.52
251.667	NA	12908	4869	7269	44498	44465	47.036
222.5	1.548514851	505	5183	6939	43148	41711	45.068
178.5	12.95760945	1439	8479	11449	42131	44462	47.212
66.8333	7.689768977	1818	4973	6717	41274	43044	47.156
171.667	9.240998105	6332	9628	9082	39461	39390	46.836
57.3333	NA	3357	5225	7001	42804	39142	45.84
122.667	113.978746	941	5266	7238	41434	43063	46.212
